...1,dhs_id,country,iso3,adm2,lat,lon,treated,log_treated_other_funder_n,log_other_sect_n,year_group,image_file_5k_3yr,iwi_est_post_oda,log_pc_nl_pre_oda,log_avg_min_to_city,log_avg_pop_dens,log_3yr_pre_conflict_deaths,log_disasters,log_ch_loan_proj_n,leader_birthplace,log_dist_km_to_gold,log_dist_km_to_gems,log_dist_km_to_dia,log_dist_km_to_petro,election_year,unsc_aligned_us,unsc_non_aligned_us,country_gini,corruption_control,gov_effectiveness,political_stability,reg_quality,rule_of_law,voice_accountability,landsat578,log_total_neighbor_projs,first_year_group,time,iwi_1990-1992,iwi_1993-1995,iwi_1996-1998,iwi_1999-2001,iwi_2002-2004,iwi_2005-2007,iwi_2008-2010,iwi_2011-2013,iwi_2014-2016,iwi_2017-2019
21,27619,liberia,LBR,c127r11r47,6.27170248844226,-10.6681280519429,0,0,0,2002:2004,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00003.tif,35.22461,0.00189902254157363,4.90995516633953,7.78058694611241,0,-4.60517018598809,-4.60517018598809,0,4.73288819106851,6.81244664513189,3.69669702889098,6.34103976699428,0,0,0,0.365,-1.16107799609502,-1.73841861883799,-1.95944873491923,-1.71568429470062,-1.82613031069438,-1.04801427324613,0,0,2002,2003,15.8447265625,12.646484375,12.607829272747,13.3392333984375,13.972167670726801,16.0009771585464,17.852783203125,21.647135913372,24.725341796875,30.3955078125
22,27603,liberia,LBR,c127r11r47,6.35422282819765,-10.7471358192757,0,2.19722457733622,0.693147180559945,2005:2007,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00021.tif,47.595215,0.00183611407618894,4.08966697267099,8.31442530388099,7.434847875212,-4.60517018598809,0.00995033085316809,1,4.63044363617014,6.80163091234203,3.90061335061953,6.35898962760246,1,0,0,0.365,-1.17188052336375,-1.46088719367981,-1.90479938189189,-1.69760799407959,-1.57602087656657,-1.33577477931976,0,2.39789527279837,2005,2006,20.81298828125,18.267822265625,21.590168774128,23.944091796875,29.794922471046398,32.470703125,35.589599609375,40.0797516107559,43.3349609375,44.53125
23,8424,democratic_republic_of_congo,COD,c63r7r29,-4.40725675441283,15.4264608573759,0,1.6094379124341,0.693147180559945,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00126.tif,44.804686,0.00461378235328442,3.16171741102825,8.67735454634932,0,2.48573963609189,-4.60517018598809,0,2.66542041479804,5.09030488952891,5.26258229044438,5.71443888791997,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,26.318359375,27.42919921875,24.715168774128,24.6490478515625,26.396483182907097,29.262694716453602,34.161376953125,38.6149078607559,40.56396484375,46.2890625
24,27619,liberia,LBR,c127r11r47,6.27170248844226,-10.6681280519429,0,2.19722457733622,0,2008:2010,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00003.tif,47.347006,0.00356368775756541,4.90995516633953,8.01584125171196,0,1.79342474854712,0.00995033085316809,1,4.73288819106851,6.81244664513189,3.69669702889098,6.34103976699428,0,0,0,0.365,-0.800501296917598,-1.27490746974945,-1.309863169988,-1.3504166603088399,-1.03667662541071,-0.242781187097232,0,2.30258509299405,2008,2009,15.8447265625,12.646484375,12.607829272747,13.3392333984375,13.972167670726801,16.0009771585464,17.852783203125,21.647135913372,24.725341796875,30.3955078125
25,27608,liberia,LBR,c127r11r47,6.33165812109938,-10.7986692120131,0,1.38629436111989,1.09861228866811,2011:2013,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00019.tif,60.35156,0.0078873115135454,3.83277363377401,8.67498616159741,0,2.89092715918786,0.00995033085316809,1,4.64213421491129,6.80394057379096,3.9949693173182,6.36680865663851,0,0,0,0.365,-0.657679617404938,-1.23234875996907,-0.934067408243812,-1.16339190800985,-1.03482375542323,-0.186571796735128,1,1.79175946922805,2011,2012,21.5576171875,25.13427734375,29.0934234857559,32.098388671875,34.5898449420929,36.5673840045929,42.17529296875,49.3489593267441,56.3720703125,58.984375
26,27617,liberia,LBR,c127r11r47,6.26936834713378,-10.723474791392,0,2.63905732961526,1.09861228866811,2008:2010,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00002.tif,42.415366,0.00507109702903985,4.26523742319243,8.42592734423496,0,1.79342474854712,0.00995033085316809,1,4.72082199850438,6.8121953284252,3.83011497746861,6.35069939156767,0,0,0,0.365,-0.800501296917598,-1.27490746974945,-1.309863169988,-1.3504166603088399,-1.03667662541071,-0.242781187097232,0,2.30258509299405,2008,2009,19.775390625,19.66552734375,21.732585132122,26.434326171875,30.107420682907097,33.5986316204071,40.61279296875,45.3938812017441,49.9267578125,52.099609375
27,54430,zambia,ZMB,c255r8r53,-9.2737776212486,31.32918359118,0,0,0,2002:2004,./data/dhs_tifs_c1_5k_3yr/zambia_2007/00306.tif,10.107422,0,4.96237832108848,2.74394467205519,0,-4.60517018598809,-4.60517018598809,0,5.78860319078774,4.68815659165987,5.69226062937264,6.71960376339631,1,0,0,0.421,-0.814119587341944,-1.05153163274129,0.0145573392510413,-0.47407969335715,-0.491526628533999,-0.408870860934257,0,1.94591014905531,2002,2003,15.97900390625,14.07470703125,12.53662109375,13.006591796875,12.5097662210464,11.5258790552616,11.8667602539062,13.529460132122,15.0634765625,16.4794921875
28,8430,democratic_republic_of_congo,COD,c63r7r29,-4.45569597814899,15.3835176878084,0,1.6094379124341,0.693147180559945,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00119.tif,36.59668,0.00234470425296264,3.56199260420808,8.65743345220838,0,2.48573963609189,-4.60517018598809,0,2.68584409364478,5.05136091062309,5.28700109932516,5.69675207233319,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,22.35107421875,23.5595703125,21.622721850872,20.0897216796875,21.5893551707268,21.8505859375,27.1484375,26.4485687017441,31.73828125,35.888671875
29,8421,democratic_republic_of_congo,COD,c63r7r29,-4.36950620251756,15.2856930137992,0,1.6094379124341,0.693147180559945,2002:2004,./data/dhs_tifs_c1_5k_3yr/democratic_republic_of_congo_2007/00137.tif,50.78125,0.00234844930659765,2.49155119250667,10.3520173668431,0,2.48573963609189,-4.60517018598809,0,1.4545896524668,5.01824337602896,5.33451689611418,5.66899994267471,0,0,0,0.422,-1.45055828491847,-1.7900401353836,-2.45345538854599,-1.86238008737564,-1.82806281248728,-1.71207104126612,0,2.77258872223978,2002,2003,36.0107421875,33.59375,30.56640625,32.110595703125,37.7099603414536,39.74609375,43.682861328125,47.2493499517441,51.1962890625,52.05078125
30,27624,liberia,LBR,c127r11r47,6.28088352716664,-10.7076378287504,0,0,0,2002:2004,./data/dhs_tifs_c1_5k_3yr/liberia_2008/00005.tif,44.04297,0.00280988642103526,4.37162792745298,8.29332443579869,0,-4.60517018598809,-4.60517018598809,0,4.71372945226188,6.81094705727778,3.79409562676193,6.34846931074451,0,0,0,0.365,-1.16107799609502,-1.73841861883799,-1.95944873491923,-1.71568429470062,-1.82613031069438,-1.04801427324613,0,0,2002,2003,15.8447265625,12.646484375,12.607829272747,13.3392333984375,13.972167670726801,16.0009771585464,17.852783203125,21.647135913372,24.725341796875,30.3955078125
